lake_id,period,region,dominant_landcover,nof_lake_type,lake_perimeter,lake_depth,lake_area,lake_number,lake_name,east_nzmg,north_nzmg,median_NH4N_mg/L^-1,band_classification_NH4N,exceeding_national_bottom_line_NH4N1.3,median_CHLA_mg/m^3,band_classification_CHLA,exceeding_national_bottom_line_CHLA12,median_SECCHI_metre,median_TN_mg/m^3,band_classification_TN,national_bottom_line_TN,exceeding_national_bottom_line_TN,median_TP_mg/m^3,band_classification_TP,exceeding_national_bottom_line_TP50,median_TLI3,band_classification_TLI3
24673,2013-2017,West Coast,Native,Polymictic,579.07,14.61,22321.25,,,2459390,6012632,0.006371,A,FALSE,2.748415,B,FALSE,5.709074,248.4938,A,800,FALSE,11.20484,B,FALSE,3.241045,Mesotrophic (average)
24674,2013-2017,West Coast,Native,Polymictic,596.67,14.85,23200.31,,,2458968,6013399,0.007021,A,FALSE,2.737491,B,FALSE,5.716235,254.2416,A,800,FALSE,11.20484,B,FALSE,3.223874,Mesotrophic (average)
24682,2013-2017,West Coast,Native,Stratified,944.54,19.07,63132.81,,,2466365,6015911,0.007021,A,FALSE,2.066033,B,FALSE,5.74323,259.8501,B,750,FALSE,13.22449,B,FALSE,3.090904,Mesotrophic (average)
24683,2013-2017,West Coast,Native,Polymictic,532.41,13.95,16362.19,,,2466551,6016171,0.007442,A,FALSE,2.203865,B,FALSE,5.678357,246.4829,A,800,FALSE,13.26364,B,FALSE,2.849814,Oligotrophic (good)
24701,2013-2017,Tasman district council,Native,Stratified,809.37,17.53,47097.63,,,2476616,6006698,0.006933,A,FALSE,1.591778,A,FALSE,8.047835,236.9056,B,750,FALSE,13.78439,B,FALSE,2.78246,Oligotrophic (good)
24712,2013-2017,West Coast,Native,Polymictic,577.75,14.59,17496.81,,,2416530,5951854,0.006431,A,FALSE,3.90964,B,FALSE,6.287787,330.0281,B,800,FALSE,15.85108,B,FALSE,3.851415,Mesotrophic (average)
24720,2013-2017,West Coast,Native,Polymictic,440.01,12.58,14026.25,,,2432236,5954937,0.006225,A,FALSE,1.659513,A,FALSE,6.45962,245.7982,A,800,FALSE,11.0423,B,FALSE,2.743709,Oligotrophic (good)
24721,2013-2017,West Coast,Native,Polymictic,502.31,13.52,19217,,,2435632,5953502,0.006179,A,FALSE,2.573141,B,FALSE,7.76086,242.8625,A,800,FALSE,11.11938,B,FALSE,2.9515,Oligotrophic (good)
24722,2013-2017,West Coast,Native,Stratified,616.45,15.11,22227.06,,,2434536,5954854,0.00632,A,FALSE,1.758736,A,FALSE,7.084644,247.535,B,750,FALSE,11.42774,B,FALSE,2.804262,Oligotrophic (good)
24723,2013-2017,West Coast,Native,Polymictic,414.77,12.18,10653,,,2432017,5955600,0.006163,A,FALSE,1.985224,A,FALSE,6.441896,243.6504,A,800,FALSE,11.16792,B,FALSE,2.749778,Oligotrophic (good)
